Roles,Sex,Full name,Used name,Born,Died,NOC,athlete_id,Measurements,Affiliations,Nick/petnames,Title(s),Other names,Nationality,Original name,Name order
Competed in Olympic Games • Other,Male,Rexy Ronald•Mainaky,Rexy•Mainaky,"9 March 1968 in Ternate, Maluku Utara (INA)",,Indonesia,258,170 cm / 65 kg,,,,,,,
Competed in Olympic Games • Other,Male,Tonny Zwingly•Maringgi,Tonny•Maringgi,"10 June 1959 in Kendari, Sulawesi Tenggara (INA)","15 September 2019 in Jakarta, Daerah Khusus Ibukota Jakarta (INA)",Indonesia,259,167 cm / 65 kg,,,,,,,
Competed in Olympic Games,Male,Ricky Achmad•Subagja,Ricky•Subagja,"27 January 1971 in Bandung, Jawa Barat (INA)",,Indonesia,260,172 cm / 62 kg,,,,,,,
Competed in Olympic Games • Competed in Olympic Games (non-medal events),Male,Suharyadi,•Suharyadi,"14 February 1965 in Blora, Jawa Tengah (INA)",,Indonesia,261,170 cm / 60 kg,,Hary,,,,,
Competed in Olympic Games,Male,Bambang•Suprianto,Bambang•Suprianto,"20 August 1969 in Solo, Jawa Tengah (INA)",,Indonesia,262,173 cm / 69 kg,"PB Djarum, Kudus (INA)",,,,,,
Competed in Olympic Games,Male,Joko•Suprianto,Joko•Suprianto,"21 January 1966 in Solo, Jawa Tengah (INA)",,Indonesia,263,173 cm / 68 kg,,,,,,,
Competed in Olympic Games,Male,Hermawan•Susanto,Hermawan•Susanto,"24 September 1967 in Kudus, Jawa Tengah (INA)",,Indonesia,264,170 cm / 62 kg,,,,,,,
Competed in Olympic Games,Male,Anton•Suseno,Anton•Suseno,"15 December 1971 in Indramayu, Jawa Barat (INA)",,Indonesia,265,178 cm / 70 kg,,,,,,,
Competed in Olympic Games,Male,Donald Wailan•Walalangi,Donald Wailan•Walalangi,"14 April 1960 in Jakarta, Daerah Khusus Ibukota Jakarta (INA)",,Indonesia,266,174 cm / 67 kg,,,,,,,
Competed in Olympic Games,Male,Benny•Wijaya,Benny•Wijaya,"28 October 1973 in Kebumen, Jawa Tengah (INA)",,Indonesia,267,180 cm / 70 kg,,,,Lin Bing-Chao,,,
Competed in Olympic Games,Male,Ardy Bernardus•Wiranata,Ardy•Wiranata,"10 February 1970 in Jakarta, Daerah Khusus Ibukota Jakarta (INA)",,Indonesia,268,171 cm / 67 kg,"PB Djarum, Kudus (INA)",Ardy B.W.,,,,,
Competed in Olympic Games,Male,Bonit•Wiryawan Sugiharto,Bonit•Wiryawan,"10 February 1968 in Surabaya, Jawa Timur (INA)",,Indonesia,269,172 cm / 61 kg,,,,,,,
Competed in Olympic Games,Female,Madhumita•Bisht (Goswami-),Madhumita•Bisht,5 October 1964,,India,270,,,,,,,,
Competed in Olympic Games,Female,Nora Margaret•Polley (Fischer-),Nora•Polley,"29 July 1894 in Budaun, Uttar Pradesh (IND)","1988 in Leominster, England (GBR)",India,271,,,,,,,,
Competed in Olympic Games,Female,Ambika•Radhika,Ambika•Radhika,17 May 1973,,India,272,,,,,,,,
Competed in Olympic Games,Female,Niyati•Roy-Shah,Niyati•Roy-Shah,30 September 1965,,India,273,,,,,,,,
Competed in Olympic Games,Male,Sayed Zeeshan•Ali,Zeeshan•Ali,"1 January 1970 in Kolkata (Calcutta), West Bengal (IND)",,India,274,180 cm / 64 kg,,,,,,,
Competed in Olympic Games,Male,Anand•Amritraj,Anand•Amritraj,"20 March 1952 in Chennai (Madras), Tamil Nadu (IND)",,India,275,185 cm / 77 kg,,,,,,ஆனந்த்•அம்ரித்ராஜ்,
Competed in Olympic Games,Male,Vijay•Amritraj,Vijay•Amritraj,"14 December 1953 in Chennai (Madras), Tamil Nadu (IND)",,India,276,193 cm / 75 kg,,,,,,விஜய்•அம்ரித்ராஜ்,
Competed in Olympic Games,Male,Chetan Panduranga•Baboor,Chetan•Baboor,22 April 1974,,India,277,188 cm / 70 kg,,,,,,,
Competed in Olympic Games,Male,Deepankar•Bhattacharya,Deepankar•Bhattacharya,1 February 1972,,India,278,178 cm / 68 kg,,,,,,,
Competed in Olympic Games,Male,Mahesh Shrinivas•Bhupathi,Mahesh•Bhupathi,"7 June 1974 in Chennai (Madras), Tamil Nadu (IND)",,India,279,185 cm / 88 kg,,Hesh,,,,महेश•भूपती,
Competed in Olympic Games,Male,Ali Athar Hassan Ally•Fyzee,Ali Athar•Fyzee,"28 August 1883 in Mumbai, Maharashtra (IND)","3 November 1963 in London, England (GBR)",India,280,,,,,,,,
Competed in Olympic Games,Male,Sujay Jashiwant•Ghorpade,Sujay•Ghorpade,10 January 1965,,India,281,,,,,,,,
Competed in Olympic Games,Male,"Syed Mohammad ""S. M.""•Hadi",S. M.•Hadi,"12 August 1899 in Hyderabad, Andhra Pradesh (IND)","14 July 1971 in Hyderabad, Andhra Pradesh (IND)",India,282,,,Rainbow Hadi,,,,,
Competed in Olympic Games,Male,Sydney Montague•Jacob,Sydney•Jacob,"28 October 1879 in Kasauli, Himachal Pradesh (IND)","14 February 1977 in Woldingham, England (GBR)",India,283,,,,,,,,
Competed in Olympic Games,Male,Ramesh•Krishnan,Ramesh•Krishnan,"5 June 1961 in Chennai (Madras), Tamil Nadu (IND)",,India,284,170 cm / 63 kg,,,,,,,
Competed in Olympic Games,Male,Vimal•Kumar,Vimal•Kumar,19 November 1962,,India,285,184 cm / 78 kg,,,,,,,
Competed in Olympic Games,Male,Kamlesh Navinchandra•Mehta,Kamlesh•Mehta,"1 May 1960 in Mumbai, Maharashtra (IND)",,India,286,,,Kamu,,,,,
Competed in Olympic Games • Other,Male,Leander Adrian•Paes,Leander•Paes,"17 June 1973 in Kolkata (Calcutta), West Bengal (IND)",,India,287,178 cm / 77 kg,,,,,,लिएंडर•पेस,
Competed in Olympic Games,Male,Donald Ross•Rutnam,Donald•Rutnam,"19 September 1902 in Colombo, Basnahira (SRI)","10 June 1968 in Dulwich, England (GBR)",India,288,,,,,,,,
Competed in Olympic Games,Male,Mohammed•Sleem,Mohammed•Sleem,"14 January 1892 in Multan, Punjab (PAK)",,India,289,,,,,,,,
Competed in Olympic Games,Male,Ángel•Bello,Ángel•Bello,"9 January 1951 in Vigo, Pontevedra (ESP)",13 June 2013,Argentina,290,65 kg,"Tiro Federal de Lomas de Zamora, Lomas de Zamora (ARG)",,,,,,
Competed in Olympic Games,Male,Claudio A.•Pafundi,Claudio•Pafundi,31 January 1962,,Argentina,291,76 kg,"Tiro Federal General José de San Martín, San Martín (ARG)",,,,,,
Competed in Olympic Games,Female,Maureen•Adams,Maureen•Adams,27 August 1937,15 December 2017,Australia,292,169 cm / 68 kg,"South Queensland Archery Society, (AUS)",,,,,,
Competed in Olympic Games,Female,Deonne Ellen•Bridger,Deonne•Bridger,"15 May 1972 in Perth, Western Australia (AUS)",,Australia,293,168 cm / 62 kg,"Kalamunda Governer Stirling Archery Club, Perth",,,,,,
Competed in Olympic Games,Female,"Terene Eva ""Terry""•Donovan",Terry•Donovan,27 December 1944,,Australia,294,157 cm / 53 kg,"Toowoomba Company of Archers, Toowoomba (AUS) / South Queensland Archery Society, (AUS)",,,,,,
Competed in Olympic Games,Female,Myfanwy Ann•Matthews,Myfanwy•Matthews,"29 December 1975 in Dubbo, New South Wales (AUS)",,Australia,295,174 cm / 60 kg,"Canberra Archery Club, Canberra (AUS)",,,,,,
Competed in Olympic Games,Female,Carole Mary•Toy,Carole•Toy,18 July 1948,,Australia,296,164 cm / 61 kg,,,,,,,
Competed in Olympic Games,Male,David John•Anear,David•Anear,"26 March 1948 in Lowestoft, England (GBR)",,Australia,297,175 cm / 80 kg,,,,,,,
Competed in Olympic Games,Male,Christopher John•Blake,Christopher•Blake,13 June 1953,,Australia,298,180 cm / 81 kg,"?, Queensland, (AUS)",,,,,,
Competed in Olympic Games,Male,Scott•Dumbrell,Scott•Dumbrell,3 February 1961,,Australia,299,182 cm / 66 kg,,,,,,,
Competed in Olympic Games,Male,Simon John•Fairweather,Simon•Fairweather,"9 October 1969 in Adelaide, South Australia (AUS)",,Australia,300,175 cm / 71 kg,"Canberra Archery Club, Canberra (AUS)",,,,,,
